NumberOfExample,AverageQuadraticErrorTest,AverageQuadraticErrorLearning,MistakePerEpochTest,MistakePerEpochLearning
90000.0,13.040583078646979,13.695490750629757,15.233333333333333,16.295833333333334
95000.0,13.383543899594693,13.871072415401562,15.758333333333333,16.475
100000.0,13.344365968899222,13.962580388120797,15.508333333333333,16.477083333333333
105000.0,12.999463400956273,13.644752080665063,15.266666666666667,16.40416666666667
110000.0,12.417636478771534,13.07951939729643,14.866666666666667,15.616666666666667
115000.0,12.31178141643763,12.785091001868668,15.075,15.491666666666667
120000.0,12.521172898757193,12.963908846013567,15.191666666666666,15.629166666666666
125000.0,11.986477618107907,12.519577022330802,14.35,15.052083333333332
130000.0,12.403518710897641,13.10629116316301,14.75,15.827083333333333
135000.0,12.577905596388394,13.034360659483573,14.883333333333335,15.504166666666666
140000.0,12.239991944393607,12.707773667441536,14.683333333333334,15.325
145000.0,11.82341285927675,12.37547648177147,14.158333333333333,14.902083333333332
150000.0,11.809861968829626,12.219483751843937,13.991666666666665,14.637500000000001
155000.0,11.608912049879674,11.988506061549346,14.008333333333333,14.397916666666665
160000.0,11.42193830962438,11.81139122117007,13.858333333333334,14.508333333333335
165000.0,11.83817572591113,12.24545903684666,14.358333333333334,14.9875
170000.0,11.332834018948175,11.782270732791158,13.441666666666666,14.291666666666666
175000.0,11.15630072500667,11.654256824158779,13.566666666666666,14.416666666666666
180000.0,11.736480682447468,12.099215968591512,13.8,14.31875
185000.0,11.265793900345662,11.675884427880451,13.633333333333333,14.272916666666665
190000.0,11.793004427087967,12.080429049763026,14.2,14.49375
195000.0,11.290720643230179,11.593196992051313,13.433333333333334,14.079166666666667
0.0,196.976613771388,196.89719725237225,89.29166666666667,89.35625
5000.0,38.9333842082503,39.076514501824626,54.325,54.8125
10000.0,28.139486904765356,28.43811642540523,31.474999999999998,32.77916666666666
15000.0,22.36886428934604,22.917697771695256,21.6,22.92083333333333
20000.0,19.79360093412766,20.281740100685163,20.983333333333334,21.59375
25000.0,18.806471390349937,19.508063477781366,18.625,19.977083333333333
30000.0,17.39979820892423,17.919519941129636,18.983333333333334,19.510416666666668
35000.0,16.19075912764776,16.7011062431881,18.366666666666667,18.835416666666667
40000.0,15.580376007223789,16.200953416013046,17.083333333333332,18.047916666666666
45000.0,15.049453369690347,15.611290716872245,16.991666666666667,18.004166666666666
50000.0,14.574823761906952,15.131616892739261,16.558333333333334,17.36875
55000.0,13.919257523597581,14.620647101144158,15.983333333333333,17.09375
60000.0,13.233309441609928,13.85629855388327,15.4,16.152083333333334
65000.0,13.097407881193817,13.727654839536424,15.1,15.9125
70000.0,13.016102309300814,13.497911120154502,15.441666666666668,16.097916666666666
75000.0,13.128373387833747,13.596534734498075,15.433333333333332,16.102083333333333
80000.0,12.867744179651613,13.344295347957544,15.283333333333331,15.870833333333334
85000.0,12.436687508179379,13.048413079727277,14.899999999999999,15.379166666666666
90000.0,12.389431760807595,12.887989954826152,14.958333333333334,15.441666666666668
95000.0,12.52393613450176,12.885521004629034,15.208333333333332,15.491666666666667
100000.0,12.717460040529307,13.127798470368617,15.1,15.48125
105000.0,12.14874268686653,12.562509355030318,14.424999999999999,15.202083333333333
110000.0,12.31296337900789,12.707003891839147,14.025000000000002,14.502083333333331
115000.0,12.045305162668711,12.313253307667544,14.733333333333334,14.83125
120000.0,12.6992335110465,12.951793047112076,15.233333333333333,15.383333333333333
125000.0,11.878586611712018,12.170773475067008,14.341666666666667,14.762500000000001
130000.0,12.155368496808109,12.451622291149361,14.725,14.839583333333334
135000.0,12.604356894353835,13.036982692313199,15.375,15.695833333333335
140000.0,11.803905418966917,12.184658176598022,14.099999999999998,14.783333333333335
145000.0,12.122600766793818,12.467339258908224,14.475,14.752083333333331
150000.0,12.15345404612508,12.3791684844806,14.508333333333335,14.708333333333334
155000.0,12.678797959492776,12.962789570633864,14.916666666666668,15.145833333333334
160000.0,12.222950544385599,12.34376332346761,14.899999999999999,14.960416666666667
165000.0,12.21729572918589,12.563196672540688,14.533333333333335,15.01875
170000.0,12.216975194516479,12.514190747089593,14.575,14.929166666666665
175000.0,11.793128874061338,12.042899544278626,14.533333333333335,14.808333333333334
180000.0,11.733860124171493,12.128444656069098,14.008333333333333,14.558333333333334
185000.0,12.16479640544746,12.575768872027812,14.733333333333334,15.085416666666667
190000.0,11.393818052128376,11.751378196199811,14.05,14.091666666666667
195000.0,11.715765047448102,12.147080990398784,14.283333333333333,14.466666666666667
0.0,197.0482518630855,196.90627816444646,92.85,93.15208333333334
5000.0,38.89804274862342,39.01262034674568,51.56666666666667,52.045833333333334
10000.0,28.103861229571713,28.452291818833185,31.433333333333337,32.48125
15000.0,21.665905838728175,22.278373796409788,21.083333333333336,22.704166666666666
20000.0,19.03199182398798,19.773334919680977,19.475,20.864583333333332
25000.0,17.924373988588034,18.44662634705824,19.341666666666665,20.252083333333335
30000.0,16.92906280084678,17.477212191532466,17.366666666666667,18.510416666666664
35000.0,15.812373387061033,16.477033358939202,17.508333333333333,18.756249999999998
40000.0,15.270819496728352,15.963192649766489,16.55,17.754166666666666
45000.0,14.791343819366656,15.41603386286311,17.058333333333334,17.858333333333334
50000.0,14.165961139805482,14.800185728921214,16.400000000000002,17.15625
55000.0,13.958700965861162,14.502449475601678,16.308333333333334,16.964583333333334
60000.0,13.674260834282116,14.260406967666398,15.866666666666667,16.770833333333332
65000.0,13.01989295116514,13.623445204309542,15.458333333333332,16.145833333333336
70000.0,12.62696342115159,13.148294167386224,14.916666666666668,15.652083333333334
75000.0,12.808970146855991,13.326428684176317,15.766666666666667,16.327083333333334
80000.0,12.620667211016437,13.333525894546103,14.875,16.12291666666667
85000.0,12.827994723792338,13.59210962280753,15.2,16.368750000000002
90000.0,12.178552558315138,12.701211542954324,14.924999999999999,15.293750000000001
95000.0,12.462021928923905,12.929889535195658,15.041666666666668,15.477083333333333
100000.0,12.045044848736895,12.675633124646456,14.483333333333334,15.6
105000.0,11.993626641363434,12.528743802628044,14.108333333333334,15.016666666666667
110000.0,12.265778532068905,12.709516178786501,14.524999999999999,15.064583333333333
115000.0,11.743052639260561,12.206647327095935,14.299999999999999,14.760416666666668
120000.0,11.934531026052774,12.517431149100384,14.316666666666666,14.997916666666667
125000.0,12.016649584741026,12.556140300491386,14.291666666666666,15.164583333333335
130000.0,11.419201981656574,11.884392651012865,13.983333333333334,14.74375
